csoport,osztaly
életvitel fakt 12/1_LE (A),12.A
biológia NyE/1_MK,NYE
biológia fakt emelt 12/1_MK (ABD),12.A
biológia fakt emelt 12/1_MK (ABD),12.B
biológia fakt emelt 12/1_MK (ABD),12.D
biológia NyE/2_MK,NYE
matematika fakt 12/4_ML (F),12.F
matematika NyE/1_ML,NYE
matematika 9D/2r_ML,9.D
német 11/3_ME (EF/2),11.E
német 11/3_ME (EF/2),11.F
német 10/2_ME (EF/1),10.E
német 10/2_ME (EF/1),10.F
német 10/5_ME (9A10BCD/1),9.A
német 10/5_ME (9A10BCD/1),10.B
német 10/5_ME (9A10BCD/1),10.C
német 10/5_ME (9A10BCD/1),10.D
média 9F/2tk_PT,9.F
informatika KNY/1_FD,KNYA
matematika NyF/2tk_Mat,NYF
informatika fakt emelt 12_FD (ABDF),12.A
informatika fakt emelt 12_FD (ABDF),12.B
informatika fakt emelt 12_FD (ABDF),12.D
informatika fakt emelt 12_FD (ABDF),12.F
informatika 10B/1_FD,10.B
angol 11/6_SzRE (EF/2),11.E
angol 11/6_SzRE (EF/2),11.F
olasz 11/1 (A/1)_MÁ,11.A
földrajz 9A/2_MÁ,9.A
földrajz 9A/1_MÁ,9.A
olasz 11/2 (A/2)_MÁ,11.A
latin 9C/2hum_MÁ,9.C
földrajz 10A/2_MÁ,10.A
angol 12/4_NK (BD/3),12.B
angol 12/4_NK (BD/3),12.D
angol 12/7_NK (11A12D/3),11.A
angol 12/7_NK (11A12D/3),12.D
nyelvtan 9B/1_NK,9.B
nyelvtan NyE/2_HeA,NYE
nyelvtan 9B/2_NK,9.B
irodalom 9B/1_NK,9.B
irodalom 9B/2_NK,9.B
testnevelés 11D/lány-1_NSz,11.D
testnevelés 12E/lány_NSz,12.E
testnevelés KNy/lány-1_NSz,KNYA
testnevelés 10D/lány-1_NSz,10.D
testnevelés 11B/lány_NSz,11.B
matematika NyE/2_NPP,NYE
matematika 12D/alap1n_NPP,12.D
angol NYEF/3_SzRE,NYE
angol NYEF/3_SzRE,NYF
életvitel fakt 12/4_KE (F),12.F
testnevelés 10A/lány-1_NVE,10.A
testnevelés KNy9D/lány-2_NVE,KNYA
testnevelés KNy9D/lány-2_NVE,9.D
testnevelés 10F/lány_NVE,10.F
testnevelés 12D/lány-1_NVE,12.D
testnevelés 9B/lány_NVE,9.B
testnevelés 12F/lány_NVE,12.F
informatika 9D/2r_NB,9.D
informatika 9C/2hum_NB,9.C
rajz 9D/2r-A_PT,9.D
informatika KNY/2_FD,KNYA
informatika 9B/1_NB,9.B
angol 10/4_VBo (CD/2),10.C
angol 10/4_VBo (CD/2),10.D
angol 10/9_SzaP (EF/4),10.E
angol 10/9_SzaP (EF/4),10.F
történelem fakt 11/4_PZ (EF),11.E
történelem fakt 11/4_PZ (EF),11.F
történelem 9E/2_PZ,9.E
nyelvtan 11F/alap_PZ,11.F
történelem 9F/2tk_PZ,9.F
történelem 9F/1inf_PZ,9.F
történelem 10B/1_PZ,10.B
irodalom 11F/alap_PZ,11.F
történelem 10F/2tk_PZ,10.F
matematika fakt 12/2_PZs (DBE),12.D
matematika fakt 12/2_PZs (DBE),12.B
matematika fakt 12/2_PZs (DBE),12.E
matematika KNy/2_PZs,KNYA
matematika KNy/1_PZs,KNYA
informatika 10C/1mat_FD,10.C
rajz 9C/1mat_PT,9.C
rajz 10C/2hum_PT,10.C
informatika 10D/2r_FD,10.D
művészeti modul 11/3_PT (művészettörténet BDE),11.B
művészeti modul 11/3_PT (művészettörténet BDE),11.D
művészeti modul 11/3_PT (művészettörténet BDE),11.E
rajz 11D/2r_PT,11.D
rajz 10D/2r_PT,10.D
média 11F/2tk_PT,11.F
rajz 9C/2hum_PT,9.C
rajz 10C/1mat_PT,10.C
irodalom 9C/2hum_PPD,9.C
irodalom 12D/alap_PPD,12.D
irodalom 11A/alap_PPD,11.A
irodalom 9F/1inf_PPD,9.F
történelem 12D/alap_PPD,12.D
irodalom 9F/2tk_PPD,9.F
nyelvtan 11A/alap_PPD,11.A
nyelvtan 12D/alap_PPD,12.D
nyelvtan 9F/2tk_PPD,9.F
életvitel 12D/alap_PPD,12.D
nyelvtan 9C/2hum_PPD,9.C
nyelvtan 9F/1inf_PPD,9.F
fizika fakt 11/1_SP (BF),11.B
fizika fakt 11/1_SP (BF),11.F
matematika 10F/2tk_ST,10.F
matematika 12A/2alap_ST,12.A
matematika 10F/1inf_ST,10.F
történelem 10D/2r_SzAn,10.D
angol 9/8_SeV (EF/3),9.E
angol 9/8_SeV (EF/3),9.F
angol NYEF/2_VBo,NYE
angol NYEF/2_VBo,NYF
matematika 11E/2alap_SZs,11.E
matematika 9B/2_SZs,9.B
olasz ny 9/2_SB,9.A
olasz tanm KNy/1_SB,KNYA
olasz 8óra KNy/1_SB,KNYA
olasz tanm KNy/3_SB,KNYA
olasz tanm KNy/2_SB,KNYA
biológia 10E/2_SKE,10.E
biológia 10E/1_SKE,10.E
életvitel fakt 12/2_SzP (B),12.B
kémia fakt 12/1_SKE (E),12.E
kémia 9E/2_SKE,9.E
kémia 9E/1_SKE,9.E
német NYEF/2_SIK,NYE
német NYEF/2_SIK,NYF
német 9/2_SIK (EF/2),9.E
német 9/2_SIK (EF/2),9.F
német 10/3_SIK (EF/2),10.E
német 10/3_SIK (EF/2),10.F
spanyol 9/1_SVI (EF),9.E
spanyol 9/1_SVI (EF),9.F
spanyol 10/3_SVI (9A10CD),9.A
spanyol 10/3_SVI (9A10CD),10.C
spanyol 10/3_SVI (9A10CD),10.D
spanyol 11/2_SVI (10A11BD),10.A
spanyol 11/2_SVI (10A11BD),11.B
spanyol 11/2_SVI (10A11BD),11.D
média 12F/2tk_SzaP,12.F
angol 11/10_SzaP (10A11BD/2),10.A
angol 11/10_SzaP (10A11BD/2),11.B
angol 11/10_SzaP (10A11BD/2),11.D
média 12B/1mt_SzaP,12.B
média 12B/2an_SzaP,12.B
média 12_SzaP (A tömb),12.A
média 12_SzaP (A tömb),12.B
média 12_SzaP (A tömb),12.D
média 12_SzaP (A tömb),12.E
média 12_SzaP (A tömb),12.F
spanyol 12/1_SzAd (11A12BD),11.A
